image_id,image_path,filename,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
34522,myntradataset\images\34522.jpg,34522.jpg,34522,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Red Tape Men Brown Sandals
6807,myntradataset\images\6807.jpg,6807.jpg,6807,Men,Footwear,Shoes,Casual Shoes,Yellow,Fall,2012.0,Casual,Timberland Men's Prem Wheat Yellow Shoe
20194,myntradataset\images\20194.jpg,20194.jpg,20194,Men,Apparel,Topwear,Sweatshirts,White,Fall,2011.0,Casual,Wrangler Men Seattle Embro White Sweatshirt
27865,myntradataset\images\27865.jpg,27865.jpg,27865,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Scullers For Her Striped Purple Shirt
45293,myntradataset\images\45293.jpg,45293.jpg,45293,Women,Accessories,Watches,Watches,Red,Winter,2016.0,Casual,CASIO SHEEN Women Red Dial Watch SX017
51566,myntradataset\images\51566.jpg,51566.jpg,51566,Women,Accessories,Watches,Watches,White,Summer,2017.0,Casual,Fastrack Women White Dial Watch NB6027sm01
54108,myntradataset\images\54108.jpg,54108.jpg,54108,Women,Footwear,Shoes,Heels,Beige,Winter,2012.0,Casual,Rocia Women Beige Flats
41385,myntradataset\images\41385.jpg,41385.jpg,41385,Women,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Women Green Candy Shirt
11041,myntradataset\images\11041.jpg,11041.jpg,11041,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Purple Check Shirt
17824,myntradataset\images\17824.jpg,17824.jpg,17824,Unisex,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Nike Unisex Air Deschutz Black Sandal
46059,myntradataset\images\46059.jpg,46059.jpg,46059,Women,Accessories,Jewellery,Bracelet,Gold,Winter,2016.0,Casual,Estelle Women Gold Colour Studded Bracelet
46383,myntradataset\images\46383.jpg,46383.jpg,46383,Men,Apparel,Topwear,Sweatshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black Sweatshirt
48577,myntradataset\images\48577.jpg,48577.jpg,48577,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet
57012,myntradataset\images\57012.jpg,57012.jpg,57012,Women,Footwear,Shoes,Flats,Maroon,Winter,2012.0,Casual,HM Women Maroon Flats
46195,myntradataset\images\46195.jpg,46195.jpg,46195,Women,Accessories,Jewellery,Jewellery Set,Multi,Winter,2015.0,Casual,Adrika Multi Coloured Teracotta  Jewellery Set
16145,myntradataset\images\16145.jpg,16145.jpg,16145,Women,Apparel,Topwear,Tops,Grey,Fall,2011.0,Casual,Tokyo Talkies Women Printed Grey Top
44951,myntradataset\images\44951.jpg,44951.jpg,44951,Women,Personal Care,Fragrance,Deodorant,White,Spring,2017.0,Casual,Kama Sutra Women Maya Deo
25174,myntradataset\images\25174.jpg,25174.jpg,25174,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Lino Perros Women Leatherette Brown Handbag
32231,myntradataset\images\32231.jpg,32231.jpg,32231,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Women Printed Blue Kurta
14715,myntradataset\images\14715.jpg,14715.jpg,14715,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Formal Shirt White Shirts
29501,myntradataset\images\29501.jpg,29501.jpg,29501,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Giordano Women White Dial Watch
30754,myntradataset\images\30754.jpg,30754.jpg,30754,Men,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Fabindia Men Check Maroon Kurta
45328,myntradataset\images\45328.jpg,45328.jpg,45328,Women,Footwear,Shoes,Heels,Black,Summer,2016.0,Casual,Cobblerz Women Black Heels
4769,myntradataset\images\4769.jpg,4769.jpg,4769,Women,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Sports,ADIDAS Women Green Polo T-shirt
34607,myntradataset\images\34607.jpg,34607.jpg,34607,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Hanes Men Black Briefs
56507,myntradataset\images\56507.jpg,56507.jpg,56507,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,,Streetwear Shine Divine Pink Lip Gloss
51454,myntradataset\images\51454.jpg,51454.jpg,51454,Women,Apparel,Topwear,Tops,Multi,Summer,2012.0,Casual,Tonga Women Multicoloured Top
1654,myntradataset\images\1654.jpg,1654.jpg,1654,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Reebok Men's Frisker LP Shoe
18233,myntradataset\images\18233.jpg,18233.jpg,18233,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Printed Red Tshirt
7375,myntradataset\images\7375.jpg,7375.jpg,7375,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2012.0,Casual,Red Tape Men's Casual Brown Flip Flop
17763,myntradataset\images\17763.jpg,17763.jpg,17763,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011.0,Formal,Buckaroo Men Tos Black Formal Shoe
36269,myntradataset\images\36269.jpg,36269.jpg,36269,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women White & Pink Night suits
45256,myntradataset\images\45256.jpg,45256.jpg,45256,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Edifice Men Analog Watch EF-130D-1A5VDF(ED419)
52827,myntradataset\images\52827.jpg,52827.jpg,52827,Women,Accessories,Jewellery,Earrings,White,Summer,2012.0,Casual,Adrika White Earrings
3253,myntradataset\images\3253.jpg,3253.jpg,3253,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010.0,Casual,Puma Men's Volley Black Shoe
14337,myntradataset\images\14337.jpg,14337.jpg,14337,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Flyclave Ltr White Casual Shoes
44040,myntradataset\images\44040.jpg,44040.jpg,44040,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017.0,Casual,Hugo Women XX Perfume
52370,myntradataset\images\52370.jpg,52370.jpg,52370,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Winter,2015.0,Casual,Red Rose Women Pink Nightdress
2606,myntradataset\images\2606.jpg,2606.jpg,2606,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,ADIDAS Men's Crew Black T-shirt
28118,myntradataset\images\28118.jpg,28118.jpg,28118,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,Jockey MC Mens Grey Melange Pack of two Briefs 8003
31451,myntradataset\images\31451.jpg,31451.jpg,31451,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Sports,Nike Men Running Red Jersey
11128,myntradataset\images\11128.jpg,11128.jpg,11128,Men,Apparel,Bottomwear,Track Pants,Beige,Fall,2011.0,Sports,Urban Yoga Men Solid Beige Track Pants
25271,myntradataset\images\25271.jpg,25271.jpg,25271,Women,Accessories,Bags,Handbags,Maroon,Summer,2012.0,Casual,Lino Perros Women Leatherette Maroon Handbag
58569,myntradataset\images\58569.jpg,58569.jpg,58569,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black T-shirt
